5-7M,,,
"Erie St. Clair Health Integration Network, Ontario",Males,2005 to 2007,77.8
"South West Health Integration Network, Ontario",Males,2005 to 2007,78.1
"Waterloo Wellington Health Integration Network, Ontario",Males,2005 to 2007,79.3
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",Males,2005 to 2007,77.7
"Central West Health Integration Network, Ontario",Males,2005 to 2007,81.3
"Mississauga Halton Health Integration Network, Ontario",Males,2005 to 2007,80.5
"Toronto Central Health Integration Network, Ontario",Males,2005 to 2007,79.5
"Central Health Integration Network, Ontario",Males,2005 to 2007,81.2
"Central East Health Integration Network, Ontario",Males,2005 to 2007,79.3
"South East Health Integration Network, Ontario",Males,2005 to 2007,77.1
"Champlain Health Integration Network, Ontario",Males,2005 to 2007,79.2
"North Simcoe Muskoka Health Integration Network, Ontario",Males,2005 to 2007,77.6
"North East Health Integration Network, Ontario",Males,2005 to 2007,76.6
"North West Health Integration Network, Ontario",Males,2005 to 2007,75.9
"District of Algoma Health Unit, Ontario",Males,2005 to 2007,77.2
"Brant County Health Unit, Ontario",Males,2005 to 2007,77.2
"Durham Regional Health Unit, Ontario",Males,2005 to 2007,78.6
"Elgin-St. Thomas Health Unit, Ontario",Males,2005 to 2007,76.7
"Grey Bruce Health Unit, Ontario",Males,2005 to 2007,78.3
"Haldimand-Norfolk Health Unit, Ontario",Males,2005 to 2007,76.4
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",Males,2005 to 2007,77.7
"Halton Regional Health Unit, Ontario",Males,2005 to 2007,80.3
"City of Hamilton Health Unit, Ontario",Males,2005 to 2007,78.3
"Hastings and Prince Edward Counties Health Unit, Ontario",Males,2005 to 2007,76.8
"Huron County Health Unit, Ontario",Males,2005 to 2007,77.7
"Chatham-Kent Health Unit, Ontario",Males,2005 to 2007,76.1
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",Males,2005 to 2007,77.6
"Lambton Health Unit, Ontario",Males,2005 to 2007,77.9
"Leeds, Grenville and Lanark District Health Unit, Ontario",Males,2005 to 2007,77.4
"Middlesex-London Health Unit, Ontario",Males,2005 to 2007,78.7
"Niagara Regional Area Health Unit, Ontario",Males,2005 to 2007,77.4
"North Bay Parry Sound District Health Unit, Ontario",Males,2005 to 2007,76.8
"Northwestern Health Unit, Ontario",Males,2005 to 2007,74.4
"City of Ottawa Health Unit, Ontario",Males,2005 to 2007,80
"Oxford County Health Unit, Ontario",Males,2005 to 2007,77.2
"Peel Regional Health Unit, Ontario",Males,2005 to 2007,81
"Perth District Health Unit, Ontario",Males,2005 to 2007,78.2
"Peterborough County-City Health Unit, Ontario",Males,2005 to 2007,78.5
"Porcupine Health Unit, Ontario",Males,2005 to 2007,75.6
"Renfrew County and District Health Unit, Ontario",Males,2005 to 2007,77.6
"Eastern Ontario Health Unit, Ontario",Males,2005 to 2007,77.3
"Simcoe Muskoka District Health Unit, Ontario",Males,2005 to 2007,78
"Sudbury and District Health Unit, Ontario",Males,2005 to 2007,76.6
"Thunder Bay District Health Unit, Ontario",Males,2005 to 2007,76.8
"Timiskaming Health Unit, Ontario",Males,2005 to 2007,75.7
"Waterloo Health Unit, Ontario",Males,2005 to 2007,79.1
"Wellington-Dufferin-Guelph Health Unit, Ontario",Males,2005 to 2007,79.3
"Windsor-Essex County Health Unit, Ontario",Males,2005 to 2007,78.3
"York Regional Health Unit, Ontario",Males,2005 to 2007,81.8
"City of Toronto Health Unit, Ontario",,,79.9
,,,
,,,
,,,
,,,
Footnotes:,,,
1,"Sources: Statistics Canada, Canadian Vital Statistics, Death Database and Demography Division (population estimates). The table 13-10-0063-01 was an update of table 13-10-0409-01.  It is now archived due to a change in geography. More recent data are in table 13-10-0389-01.",,
2,"Life expectancy is the number of years a person would be expected to live, starting from birth (for life expectancy at birth) and similarly for other age groups, if the age- and sex-specific mortality rates for a given observation period (such as a calendar year) were held constant over the estimated life span.",,
3,"In this table, the calculation of life expectancy is based on three consecutive years of death data and population estimates.",,
4,"Life expectancy is calculated according the methodology described in <a href=http://www5.statcan.gc.ca/olc-cel/olc.action?ObjId=84-538-X&ObjType=2&lang=en&limit=0"">Methods for Constructing Life Tables for Canada", Provinces and Territories,catalogue no. 84-538</a>. Life expectancy originates from complete life tables
5,"Rates used in this table for the calculation of life expectancy are calculated with data that exclude: births to mothers not resident in Canada; births to mothers resident in Canada, province or territory of residence unknown; deaths of non-residents of Canada; deaths of residents of Canada whose province or territory of residence was unknown; deaths for which age or sex of decedent was unknown.",,
6,Rates used for the calculation of life expectancy in this table are based on data tabulated by place of residence.,,
7,"Life expectancy for Canada, Provinces and Territories, as well as those health regions that represent the whole province or territory (PEI, Yukon, Northwest Territories, and Nunavut) comes from table 39-10-0007-01.",,
8,The number of deaths in Ontario for 2016 is considered preliminary.,,
9,"Health regions are administrative areas defined by provincial ministries of health according to provincial legislation. The health regions presented in this table are based on boundaries and names in effect as of December 2017. For complete Canadian coverage, each northern territory represents a health region.",,
