"Erie St. Clair Health Integration Network, Ontario",Males,2005 to 2007,77.8
,,2006 to 2008,77.8
,,2007 to 2009,78
,,2008 to 2010,78.2
,,2009 to 2011,78.3
,,2010 to 2012,78.5
,,2011 to 2013,78.8
,,2012 to 2014,78.9
,,2013 to 2015,79.2
,,2014 to 2016,79.2
,Females,2005 to 2007,82.2
,,2006 to 2008,82.1
,,2007 to 2009,82.3
,,2008 to 2010,82.7
,,2009 to 2011,83.1
,,2010 to 2012,83.3
,,2011 to 2013,83.5
,,2012 to 2014,83.4
,,2013 to 2015,83.3
,,2014 to 2016,83.4
"South West Health Integration Network, Ontario",Males,2005 to 2007,78.1
,,2006 to 2008,78.2
,,2007 to 2009,78.3
,,2008 to 2010,78.5
,,2009 to 2011,78.7
,,2010 to 2012,78.9
,,2011 to 2013,79.1
,,2012 to 2014,79.2
,,2013 to 2015,79.3
,,2014 to 2016,79.5
,Females,2005 to 2007,82.4
,,2006 to 2008,82.4
,,2007 to 2009,82.8
,,2008 to 2010,83.1
,,2009 to 2011,83.4
,,2010 to 2012,83.6
,,2011 to 2013,83.6
,,2012 to 2014,83.5
,,2013 to 2015,83.4
,,2014 to 2016,83.6
"Waterloo Wellington Health Integration Network, Ontario",Males,2005 to 2007,79.3
,,2006 to 2008,79.2
,,2007 to 2009,79.4
,,2008 to 2010,79.6
,,2009 to 2011,79.9
,,2010 to 2012,80.1
,,2011 to 2013,80.1
,,2012 to 2014,80.1
,,2013 to 2015,80.2
,,2014 to 2016,80.3
,Females,2005 to 2007,83.4
,,2006 to 2008,83.4
,,2007 to 2009,83.6
,,2008 to 2010,83.7
,,2009 to 2011,83.9
,,2010 to 2012,84
,,2011 to 2013,84.1
,,2012 to 2014,84
,,2013 to 2015,84
,,2014 to 2016,83.9
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",Males,2005 to 2007,77.7
,,2006 to 2008,77.6
,,2007 to 2009,77.8
,,2008 to 2010,78.1
,,2009 to 2011,78.5
,,2010 to 2012,78.7
,,2011 to 2013,78.9
,,2012 to 2014,79
,,2013 to 2015,79.1
,,2014 to 2016,79.2
,Females,2005 to 2007,82.4
,,2006 to 2008,82.5
,,2007 to 2009,82.5
,,2008 to 2010,82.7
,,2009 to 2011,83.1
,,2010 to 2012,83.3
,,2011 to 2013,83.6
,,2012 to 2014,83.5
,,2013 to 2015,83.4
,,2014 to 2016,83.4
"Central West Health Integration Network, Ontario",Males,2005 to 2007,81.3
,,2006 to 2008,81.1
,,2007 to 2009,81.3
,,2008 to 2010,81.4
,,2009 to 2011,81.9
,,2010 to 2012,82.3
,,2011 to 2013,82.6
,,2012 to 2014,82.7
,,2013 to 2015,82.9
,,2014 to 2016,83
,Females,2005 to 2007,85.5
,,2006 to 2008,85.5
,,2007 to 2009,85.7
,,2008 to 2010,85.9
,,2009 to 2011,86.4
,,2010 to 2012,86.6
,,2011 to 2013,86.8
,,2012 to 2014,86.8
,,2013 to 2015,86.9
,,2014 to 2016,86.9
"Mississauga Halton Health Integration Network, Ontario",Males,2005 to 2007,80.5
